Date;Open;High;Low;Close;Volume;Adj Close
04/01/1984;9927;10236;9927;10196;0;10196
01/02/1984;10201;10201;9830;10031;0;10031
01/03/1984;9920;10929;9920;10929;0;10929
02/04/1984;11050;11050;10762;10981;0;10981
01/05/1984;11013;11159;9940;9940;0;9940
01/06/1984;9913;10378;9913;10378;0;10378
02/07/1984;10411;10462;9703;9999;0;9999
01/08/1984;9948;10586;9948;10584;0;10584
03/09/1984;10630;10649;10458;10649;0;10649
01/10/1984;10654;11253;10540;11253;0;11253
01/11/1984;11170;11429;11163;11429;0;11429
03/12/1984;11514;11560;11251;11543;0;11543
02/01/1985;11543;11993;11543;11993;0;11993
01/02/1985;11947;12322;11823;12322;0;12322
01/03/1985;12412;12604;12264;12590;0;12590
01/04/1985;12677;12683;12053;12426;0;12426
01/05/1985;12457;12790;12358;12790;0;12790
03/06/1985;12473;12911;12473;12882;0;12882
01/07/1985;12919;13030;12263;12263;0;12263
01/08/1985;12538;12734;12327;12713;0;12713
03/09/1985;12531;12756;12454;12700;0;12700
01/10/1985;12685;13056;12685;12939;0;12939
01/11/1985;12808;12882;12590;12763;0;12763
02/12/1985;12797;13129;12775;13083;0;13083
06/01/1986;13054;13056;12882;13024;0;13024
03/02/1986;13087;13642;13087;13641;0;13641
03/03/1986;13768;15860;13768;15860;0;15860
01/04/1986;15746;15827;15014;15826;0;15826
01/05/1986;15783;16739;15690;16739;0;16739
02/06/1986;16739;17654;16670;17654;0;17654
01/07/1986;17623;18051;17470;17510;0;17510
01/08/1986;17322;18951;17263;18821;0;18821
01/09/1986;18821;18821;17327;17853;0;17853
01/10/1986;17854;17974;15624;16911;0;16911
04/11/1986;16840;18084;16700;18083;0;18083
01/12/1986;18339;18989;18132;18821;0;18821
05/01/1987;18703;20051;18526;20048;0;20048
02/02/1987;20041;20598;19514;20422;0;20422
02/03/1987;20771;22218;20771;21567;0;21567
01/04/1987;21576;24256;21576;23275;0;23275
01/05/1987;23294;24843;23294;24772;0;24772
01/06/1987;24905;26000;23898;24176;0;24176
01/07/1987;24174;24861;22401;24488;0;24488
03/08/1987;24760;26160;24142;26029;0;26029
01/09/1987;26041;26178;24744;26011;0;26011
01/10/1987;26014;26647;21616;22765;0;22765
02/11/1987;23323;23359;20514;22687;0;22687
01/12/1987;22662;23281;20937;21564;0;21564
04/01/1988;21551;23746;21148;23622;0;23622
01/02/1988;23726;25264;23578;25243;0;25243
01/03/1988;25256;26377;25256;26260;0;26260
01/04/1988;26276;27434;26074;27434;0;27434
02/05/1988;27521;27967;26929;27417;0;27417
01/06/1988;27428;28395;27178;27769;0;27769
01/07/1988;27779;28207;27109;27912;0;27912
01/08/1988;28234;28476;27266;27366;0;27366
01/09/1988;27329;28034;26701;27924;0;27924
03/10/1988;27693;28046;26963;27983;0;27983
01/11/1988;27976;29580;27798;29579;0;29579
01/12/1988;29614;30264;29292;30159;0;30159
04/01/1989;30166;31743;30083;31581;0;31581
01/02/1989;31577;32598;31304;31986;0;31986
01/03/1989;32007;32964;31344;32839;0;32839
03/04/1989;32863;33738;32704;33713;0;33713
01/05/1989;33722;34338;33582;34267;0;34267
01/06/1989;34294;34328;32606;32949;0;32949
03/07/1989;32895;34955;32697;34954;0;34954
01/08/1989;34950;35192;34244;34431;0;34431
01/09/1989;34439;35778;33955;35637;0;35637
02/10/1989;35672;35771;34461;35549;0;35549
01/11/1989;35545;37269;35099;37269;0;37269
01/12/1989;37284;38957;37059;38916;0;38916
04/01/1990;38922;38951;36365;37189;0;37189
01/02/1990;37242;37887;32443;34592;0;34592
01/03/1990;34587;34588;28830;29980;0;29980
02/04/1990;29980;30524;27251;29585;0;29585
01/05/1990;29594;33228;29519;33131;0;33131
01/06/1990;33110;33345;31086;31940;0;31940
02/07/1990;31924;33187;30297;31036;0;31036
01/08/1990;31086;31372;23547;25978;0;25978
03/09/1990;26014;26163;20671;20984;0;20984
01/10/1990;20986;25486;19782;25194;0;25194
01/11/1990;25160;25160;21934;22455;0;22455
03/12/1990;22457;25064;21627;23849;0;23849
04/01/1991;23827;24110;22100;23293;0;23293
01/02/1991;23271;26710;22860;26409;0;26409
01/03/1991;26389;27270;25786;26292;0;26292
01/04/1991;26238;27092;25914;26111;0;26111
01/05/1991;26194;26649;25228;25790;0;25790
03/06/1991;25841;26017;23215;23291;0;23291
01/07/1991;23377;24322;21731;24121;0;24121
01/08/1991;24074;24084;21309;22336;0;22336
02/09/1991;22329;24158;22175;23916;0;23916
01/10/1991;23910;25255;23861;25222;0;25222
01/11/1991;25167;25167;22538;22687;0;22687
02/12/1991;22646;23022;21124;22984;0;22984
06/01/1992;23031;23902;20638;22023;0;22023
03/02/1992;22076;22373;20486;21339;0;21339
02/03/1992;21348;21551;19343;19346;0;19346
01/04/1992;19325;19325;16572;17391;0;17391
01/05/1992;17375;19004;17273;18348;0;18348
01/06/1992;18328;18503;15642;15952;0;15952
01/07/1992;15961;17274;15025;15910;0;15910
03/08/1992;15903;18169;14194;18061;0;18061
01/09/1992;18058;19284;17396;17399;0;17399
01/10/1992;17422;17714;16675;16767;0;16767
02/11/1992;16733;17684;15942;17684;0;17684
01/12/1992;17675;17788;16892;16925;0;16925
04/01/1993;16980;17178;16216;17024;0;17024
01/02/1993;17038;17419;16751;16953;0;16953
01/03/1993;16956;19126;16721;18591;0;18591
01/04/1993;18596;20919;18527;20919;0;20919
06/05/1993;20939;21225;20123;20552;0;20552
01/06/1993;20532;21223;19040;19590;0;19590
01/07/1993;19639;20546;19545;20380;0;20380
02/08/1993;20393;21030;20231;21027;0;21027
01/09/1993;20929;21281;19928;20106;0;20106
01/10/1993;20097;20530;19444;19703;0;19703
01/11/1993;19657;19657;15672;16407;0;16407
01/12/1993;16450;18052;16217;17417;0;17417
04/01/1994;17422;20229;17242;20229;0;20229
01/02/1994;20256;20526;18769;19997;0;19997
01/03/1994;20053;20782;19083;19112;0;19112
01/04/1994;19162;20495;18896;19725;0;19725
02/05/1994;19649;21049;19489;20974;0;20974
01/06/1994;20989;21573;20169;20644;0;20644
01/07/1994;20618;20908;19994;20449;0;20449
01/08/1994;20422;20876;20271;20629;0;20629
01/09/1994;20634;20701;19414;19564;0;19564
03/10/1994;19580;20177;19488;19990;0;19990
01/11/1994;19929;19929;18666;19076;0;19076
01/12/1994;19061;19833;18823;19723;0;19723
04/01/1995;19725;19725;17699;18650;0;18650
01/02/1995;18647;18869;16518;17053;0;17053
01/03/1995;17018;17162;15424;16140;0;16140
03/04/1995;16080;17110;15256;16807;0;16807
01/05/1995;16820;17190;15292;15437;0;15437
01/06/1995;15481;16016;14376;14517;0;14517
03/07/1995;14519;17018;14296;16678;0;16678
01/08/1995;16645;18300;16274;18117;0;18117
01/09/1995;18053;18848;17503;17913;0;17913
02/10/1995;17921;18547;17337;17655;0;17655
01/11/1995;17623;18847;17409;18744;0;18744
01/12/1995;18752;20024;18696;19868;0;19868
04/01/1996;19946;21022;19946;20813;0;20813
01/02/1996;20806;21157;19879;20125;0;20125
01/03/1996;20094;21486;19628;21407;0;21407
01/04/1996;21451;22348;21350;22041;0;22041
01/05/1996;22031;22311;21171;21956;0;21956
03/06/1996;21971;22757;21589;22531;0;22531
01/07/1996;22568;22600;20628;20693;0;20693
01/08/1996;20665;21398;20092;20167;0;20167
02/09/1996;20187;21604;19920;21556;0;21556
01/10/1996;21533;21789;20450;20467;0;20467
01/11/1996;20498;21461;20388;21020;0;21020
02/12/1996;21035;21068;18820;19361;0;19361
06/01/1997;19364;19501;17020;18330;0;18330
03/02/1997;18308;19229;17792;18557;0;18557
03/03/1997;18517;18750;17617;18003;0;18003
01/04/1997;17935;19195;17448;19151;0;19151
01/05/1997;19232;20612;19188;20069;0;20069
02/06/1997;20084;20911;20041;20605;0;20605
01/07/1997;20562;20699;19496;20331;0;20331
01/08/1997;20345;20399;17974;18229;0;18229
01/09/1997;18215;18775;17564;17888;0;17888
01/10/1997;17820;17937;16082;16459;0;16459
04/11/1997;16494;17006;14966;16633;0;16633
01/12/1997;16594;17118;14569;15259;0;15259
05/01/1998;15269;17353;14546;16628;0;16628
02/02/1998;16685;17256;15932;16832;0;16832
02/03/1998;16901;17352;16178;16527;0;16527
01/04/1998;16433;16624;15334,46973;15641,25977;0;15641,25977
01/05/1998;15656,13965;15972,87988;15020,04981;15670,78027;0;15670,78027
01/06/1998;15670,73047;15830,46973;14614,74023;15830,26953;0;15830,26953
01/07/1998;15852,09961;16756,89063;15739,75977;16378,96973;0;16378,96973
03/08/1998;16303,59961;16303,59961;13792,75977;14107,88965;0;14107,88965
01/09/1998;13979,82031;15294,25977;13406,38965;13406,38965;0;13406,38965
01/10/1998;13377,24023;14742,44043;12787,90039;13564,50977;0;13564,50977
02/11/1998;13648,28027;15320,23047;13648,28027;14883,7002;0;14883,7002
01/12/1998;14821,53027;15011,08984;13657,03027;13842,16992;0;13842,16992
04/01/1999;13779,04981;14628,87988;13122,61035;14499,25;0;14499,25
01/02/1999;14544,12012;14641,41016;13769,25;14367,54004;0;14367,54004
01/03/1999;14362,86035;16437,23047;13921,05957;15836,58984;0;15836,58984
01/04/1999;15868,04981;17166,06055;15813,41016;16701,5293;0;16701,5293
06/05/1999;16762,7793;17300,60938;15886,62012;16111,65039;0;16111,65039
01/06/1999;16090,15039;17958,33984;16026,9502;17529,74023;0;17529,74023
01/07/1999;17607,59961;18623,15039;17367,08008;17861,85938;0;17861,85938
02/08/1999;17827,24023;18397,92969;17040,7207;17436,56055;0;17436,56055
01/09/1999;17479,57031;17988,58984;16652,03906;17605,46094;0;17605,46094
01/10/1999;17589,73047;18228,39063;17178,4707;17942,08008;0;17942,08008
01/11/1999;17982,39063;19036,08008;17857,10938;18558,23047;0;18558,23047
01/12/1999;18563,25977;18960,33008;18006,32031;18934,33984;0;18934,33984
04/01/2000;18937,44922;19595,83008;18068,09961;19539,69922;0;19539,69922
01/02/2000;19536,67969;20046,14063;19266,96094;19959,51953;0;19959,51953
01/03/2000;20030,08008;20809,78906;18765,88086;20337,32031;0;20337,32031
03/04/2000;20327,78906;20833,21094;17926,42969;17973,69922;0;17973,69922
01/05/2000;17979,25;18586,16016;15870,25;16332,4502;0;16332,4502
01/06/2000;16320,08008;17511,32031;16289,91992;17411,05078;0;17411,05078
03/07/2000;17451,65039;17661,10938;15394,70996;15727,49023;0;15727,49023
01/08/2000;15784,59961;17210,80078;15557,33008;16861,25977;0;16861,25977
01/09/2000;16915,03906;17018,51953;15621,87988;15747,25977;0;15747,25977
02/10/2000;15735,70996;16192,78027;14333,16016;14539,59961;0;14539,59961
01/11/2000;14557,4502;15602,38965;14172,63965;14648,50977;0;14648,50977
01/12/2000;14600,53027;15273,40039;13182,50977;13785,69043;0;13785,69043
04/01/2001;13898,08984;14186,62012;13123,80957;13843,54981;0;13843,54981
01/02/2001;13740,91992;13862,29004;12784,16992;12883,54004;0;12883,54004
01/03/2001;12811,51953;13867,58008;11433,87988;12999,7002;0;12999,7002
02/04/2001;13057,65039;14099,49023;12579,55957;13934,32031;0;13934,32031
01/05/2001;14096,32031;14556,11035;13216,57031;13262,13965;0;13262,13965
01/06/2001;13365,08008;13510,7002;12511,66016;12969,04981;0;12969,04981
02/07/2001;12929,66016;12929,66016;11531,67969;11860,76953;0;11860,76953
01/08/2001;11920,63965;12407,37012;10684,16016;10713,50977;0;10713,50977
03/09/2001;10729,59961;10812,88965;9382,950195;9774,679688;0;9774,679688
01/10/2001;9766,75;11052,00977;9604,089844;10366,33984;0;10366,33984
01/11/2001;10430,58984;11186,75;9955,089844;10697,44043;0;10697,44043
03/12/2001;10694,65039;11052,50977;10170,90039;10542,62012;0;10542,62012
04/01/2002;10631;10979,91992;9843,120117;9997,799805;0;9997,799805
01/02/2002;10026,95996;10798,66992;9420,849609;10587,83008;0;10587,83008
01/03/2002;10641,36035;12034,04004;10540,30957;11024,94043;0;11024,94043
01/04/2002;11106,07031;11812,99023;10896,12012;11492,54004;0;11492,54004
01/05/2002;11540,08984;12081,42969;11250,86035;11763,7002;0;11763,7002
03/06/2002;11804,04004;11905,16016;10060,71973;10621,83984;422780200;10621,83984
01/07/2002;10655;11050,69043;9547,849609;9877,94043;516784600;9877,94043
01/08/2002;9912,589844;10162,29981;9439,410156;9619,299805;465454100;9619,299805
02/09/2002;9564,900391;9884,599609;8969,259766;9383,290039;548516400;9383,290039
01/10/2002;9289,530273;9293,860352;8197,219727;8640,480469;502799200;8640,480469
01/11/2002;8651,669922;9294,099609;8246,530273;9215,55957;592164300;9215,55957
02/12/2002;9208,610352;9320,110352;8256,519531;8578,950195;464192000;8578,950195
06/01/2003;8669,889648;8829,05957;8237,030273;8339,94043;583941700;8339,94043
03/02/2003;8285,549805;8821,30957;8253,759766;8363,040039;540495700;8363,040039
03/03/2003;8397,150391;8509,429688;7824,819824;7972,709961;291587100;7972,709961
01/04/2003;7907,129883;8249,980469;7603,759766;7831,419922;56900;7831,419922
01/05/2003;7804,029785;8461,730469;7745,689941;8424,509766;62400;8424,509766
02/06/2003;8490,219727;9188,950195;8488,889648;9083,110352;86400;9083,110352
01/07/2003;9097,610352;10070,11035;9078,740234;9563,209961;89400;9563,209961
01/08/2003;9646,660156;10415,53027;9224,049805;10343,54981;86700;10343,54981
01/09/2003;10399,53027;11160,19043;10148,36035;10219,04981;94400;10219,04981
01/10/2003;10232,57031;11238,62988;10173,54004;10559,58984;92000;10559,58984
04/11/2003;10693,66016;10869,34961;9614,599609;10100,57031;73300;10100,57031
01/12/2003;10006,12988;10681,28027;9859;10676,63965;62500;10676,63965
05/01/2004;10787,83008;11193,63965;10665,15039;10783,61035;78800;10783,61035
02/02/2004;10784,92969;11069,28027;10299,42969;11041,91992;72000;11041,91992
01/03/2004;11112,67969;11869;11045,94043;11715,38965;108700;11715,38965
01/04/2004;11756,16016;12195,66016;11623,65039;11761,79004;121200;11761,79004
06/05/2004;11777,44043;11785,25977;10489,83984;11236,37012;98400;11236,37012
01/06/2004;11204,69043;11887,9502;10963,55957;11858,87012;80500;11858,87012
01/07/2004;11933,33008;11988,12012;11018,79004;11325,78027;68700;11325,78027
02/08/2004;11274,4502;11279,70996;10545,88965;11081,79004;70300;11081,79004
01/09/2004;11104,84961;11357,84961;10737,78027;10823,57031;82600;10823,57031
01/10/2004;10893,19043;11410,40039;10575,23047;10771,41992;83800;10771,41992
01/11/2004;10731,01953;11268,80957;10690,9502;10899,25;73400;10899,25
01/12/2004;10790,4502;11500,9502;10721,58984;11488,75977;69900;11488,75977
04/01/2005;11458,26953;11580,69043;11212,62988;11387,58984;89600;11387,58984
01/02/2005;11422,01953;11754,90039;11271,04004;11740,59961;92500;11740,59961
01/03/2005;11734,13965;11975,45996;11506,84961;11668,9502;95600;11668,9502
01/04/2005;11590,4502;11911,90039;10770,58008;11008,90039;89000;11008,90039
02/05/2005;10954,20996;11302,51953;10788,58984;11276,58984;80300;11276,58984
01/06/2005;11220,94043;11594,57031;11148,36035;11584,00977;70600;11584,00977
01/07/2005;11573,37012;11913,5;11540,92969;11899,59961;75800;11899,59961
01/08/2005;11907,41992;12612,16016;11614,70996;12413,59961;105700;12413,59961
01/09/2005;12501,42969;13678,44043;12498,40039;13574,29981;173500;13574,29981
03/10/2005;13566,2002;13783,59961;12996,29004;13606,5;173100;13606,5
01/11/2005;13718,20996;15013,24023;13706,33008;14872,15039;180800;14872,15039
01/12/2005;14914,75;16445,56055;14880,17969;16111,42969;156900;16111,42969
04/01/2006;16294,65039;16754,59961;15059,51953;16649,82031;148600;16649,82031
01/02/2006;16594,90039;16777,36914;15389,58008;16205,42969;146000;16205,42969
01/03/2006;16026,82031;17125,64063;15553,13965;17059,66016;113100;17059,66016
03/04/2006;17127,60938;17563,36914;16750,5;16906,23047;112900;16906,23047
01/05/2006;16929,83008;17375,25;15442,53027;15467,33008;122600;15467,33008
01/06/2006;15603,25;15789,30957;14045,53027;15505,17969;119700;15505,17969
03/07/2006;15573,34961;15710,38965;14437,24023;15456,80957;109700;15456,80957
01/08/2006;15387,51953;16244,83984;15154,05957;16140,75977;103900;16140,75977
01/09/2006;16072,80957;16414,93945;15513,87012;16127,58008;107300;16127,58008
02/10/2006;16169;16901,5293;16028,32031;16399,39063;110000;16399,39063
01/11/2006;16338,71973;16512,50977;15615,55957;16274,33008;113100;16274,33008
01/12/2006;16313,01953;17301,68945;16185,91992;17225,83008;116200;17225,83008
04/01/2007;17322,5;17617,64063;16758,46094;17383,41992;148100;17383,41992
01/02/2007;17377,0293;18300,39063;17199,66016;17604,11914;184500;17604,11914
01/03/2007;17542,23047;17558,03906;16532,91016;17287,65039;167400;17287,65039
02/04/2007;17346,25;17782,08008;16999,05078;17400,41016;137500;17400,41016
01/05/2007;17396,30078;17875,75;17203,0293;17875,75;137700;17875,75
01/06/2007;17949,91992;18297;17591,92969;18138,35938;134800;18138,35938
02/07/2007;18139,03906;18295,26953;17042,66016;17248,89063;132400;17248,89063
01/08/2007;17169,19922;17274,33008;15262,09961;16569,08984;144200;16569,08984
03/09/2007;16511,07031;16929,25977;15610,65039;16785,68945;121100;16785,68945
01/10/2007;16773,09961;17488,9707;16199,01953;16737,63086;126200;16737,63086
01/11/2007;16812,90039;16887,03906;14669,84961;15680,66992;155300;15680,66992
03/12/2007;15747,46973;16107,65039;14998,00977;15307,78027;125900;15307,78027
04/01/2008;15155,73047;15156,66016;12572,67969;13592,46973;172500;13592,46973
01/02/2008;13517,74023;14105,46973;12923,41992;13603,01953;152100;13603,01953
03/03/2008;13412,87012;13413,62988;11691;12525,54004;147200;12525,54004
01/04/2008;12539,79981;14003,28027;12521,83984;13849,99023;129300;13849,99023
01/05/2008;13802,58984;14392,53027;13540,67969;14338,54004;143300;14338,54004
02/06/2008;14342,95996;14601,26953;13453,34961;13481,37988;133000;13481,37988
01/07/2008;13514,86035;13603,30957;12671,33984;13376,80957;127000;13376,80957
01/08/2008;13276,57031;13468,80957;12631,94043;13072,87012;122100;13072,87012
01/09/2008;12936,80957;12940,54981;11160,83008;11259,86035;153500;11259,86035
01/10/2008;11396,61035;11456,63965;6994,899902;8576,980469;203300;8576,980469
04/11/2008;8702,769531;9521,240234;7406,180176;8512,269531;166400;8512,269531
01/12/2008;8464,360352;8859,55957;7849,839844;8859,55957;127800;8859,55957
05/01/2009;8991,209961;9325,349609;7671,040039;7994,049805;147500;7994,049805
02/02/2009;7908,509766;8257,709961;7155,160156;7568,419922;155200;7568,419922
02/03/2009;7454,279785;8843,179688;7021,279785;8109,529785;169300;8109,529785
01/04/2009;8173,359863;9068,799805;8084,620117;8828,259766;189100;8828,259766
01/05/2009;8848,839844;9522,5;8827,129883;9522,5;176800;9522,5
01/06/2009;9517,490234;10170,82031;9491,259766;9958,44043;179000;9958,44043
01/07/2009;9889,339844;10359,07031;9050,330078;10356,83008;162500;10356,83008
03/08/2009;10355,23047;10767;10142,21973;10492,53027;146600;10492,53027
01/09/2009;10453,37012;10577,19043;9971,049805;10133,23047;142400;10133,23047
01/10/2009;10072,63965;10397,69043;9628,669922;10034,74023;156100;10034,74023
02/11/2009;9903,769531;9979,459961;9076,410156;9345,549805;155000;9345,549805
01/12/2009;9281,820312;10707,50977;9233,200195;10546,44043;165500;10546,44043
04/01/2010;10609,33984;10982,09961;10198,04004;10198,04004;190400;10198,04004
01/02/2010;10212,36035;10449,75;9867,389648;10126,03027;136800;10126,03027
01/03/2010;10128,73047;11147,62012;10116,86035;11089,94043;116000;11089,94043
01/04/2010;11178,91992;11408,16992;10865,91992;11057,40039;144200;11057,40039
06/05/2010;10847,90039;10847,90039;9395,290039;9768,700195;182700;9768,700195
01/06/2010;9747,259766;10251,90039;9347,070312;9382,639648;122200;9382,639648
01/07/2010;9296,860352;9807,360352;9091,700195;9537,299805;147800;9537,299805
02/08/2010;9574,639648;9750,879883;8807,410156;8824,05957;121500;8824,05957
01/09/2010;8833,320312;9704,25;8796,450195;9369,349609;131200;9369,349609
01/10/2010;9440,519531;9716,919922;9179,150391;9202,450195;154400;9202,450195
01/11/2010;9166,849609;10157,96973;9123,620117;9937,040039;144500;9937,040039
01/12/2010;9939,799805;10394,21973;9918,549805;10228,91992;130700;10228,91992
04/01/2011;10352,19043;10620,57031;10182,57031;10237,91992;151600;10237,91992
01/02/2011;10281,54981;10891,59961;10245,75;10624,08984;166800;10624,08984
01/03/2011;10676,24023;10768,42969;8227,629883;9755,099609;226300;9755,099609
01/04/2011;9757,280273;9849,740234;9405,19043;9849,740234;157400;9849,740234
02/05/2011;9964,389648;10017,46973;9406,040039;9693,730469;138500;9693,730469
01/06/2011;9708,049805;9849,69043;9318,620117;9816,089844;137500;9816,089844
01/07/2011;9878,69043;10207,91016;9824,339844;9833,030273;129800;9833,030273
01/08/2011;9907,040039;10040,12988;8619,209961;8955,200195;154900;8955,200195
01/09/2011;9017,009766;9098,150391;8359,700195;8700,290039;140600;8700,290039
03/10/2011;8567,980469;9152,389648;8343,009766;8988,389648;125200;8988,389648
01/11/2011;8880,75;8946;8135,790039;8434,610352;120100;8434,610352
01/12/2011;8581,200195;8729,80957;8272,259766;8455,349609;102000;8455,349609
04/01/2012;8549,540039;8911,620117;8349,330078;8802,509766;120600;8802,509766
01/02/2012;8789,05957;9866,410156;8780,099609;9723,240234;173100;9723,240234
01/03/2012;9771,339844;10255,15039;9509,099609;10083,55957;165600;10083,55957
02/04/2012;10161,71973;10190,34961;9388,139648;9520,889648;135600;9520,889648
01/05/2012;9471,660156;9472,25;8455,129883;8542,730469;136900;8542,730469
01/06/2012;8465,469727;9044,040039;8238,959961;9006,780273;128200;9006,780273
02/07/2012;9103,790039;9136,019531;8328,019531;8695,05957;123600;8695,05957
01/08/2012;8622,040039;9222,870117;8513,200195;8839,910156;117100;8839,910156
03/09/2012;8836,610352;9288,530273;8646,030273;8870,160156;133600;8870,160156
01/10/2012;8815,070312;9075,589844;8488,139648;8928,290039;130600;8928,290039
01/11/2012;8931,709961;9492,910156;8619,450195;9446,009766;135500;9446,009766
03/12/2012;9484,200195;10433,62988;9376,969727;10395,17969;191300;10395,17969
04/01/2013;10604,5;11145,37988;10398,61035;11138,66016;242700;11138,66016
01/02/2013;11193,71973;11662,51953;11046,91992;11559,36035;290300;11559,36035
01/03/2013;11464,70996;12650,25977;11464,70996;12397,91016;221600;12397,91016
01/04/2013;12371,33984;13983,87012;11805,78027;13860,86035;307000;13860,86035
01/05/2013;13837,71973;15942,59961;13555,66016;13774,54004;355700;13774,54004
03/06/2013;13551,36035;13724,44043;12415,84961;13677,32031;249400;13677,32031
01/07/2013;13746,71973;14953,29004;13562,7002;13668,32031;196800;13668,32031
01/08/2013;13674,5;14466,16016;13188,13965;13388,86035;150600;13388,86035
02/09/2013;13438,07031;14817,5;13407,53027;14455,79981;153200;14455,79981
01/10/2013;14517,98047;14799,28027;13748,94043;14327,94043;141400;14327,94043
01/11/2013;14403,07031;15729,08984;14026,16992;15661,87012;166700;15661,87012
02/12/2013;15659,74023;16320,21973;15112,54004;16291,30957;158700;16291,30957
06/01/2014;16147,54004;16164,00977;14764,57031;14914,53027;197600;14914,53027
03/02/2014;14788,55957;15094,54004;13995,86035;14841,07031;186800;14841,07031
03/03/2014;14666,92969;15312,59961;14203,20996;14827,83008;157600;14827,83008
01/04/2014;14870,50977;15164,38965;13885,11035;14304,11035;122700;14304,11035
01/05/2014;14341,08984;14744,16016;13964,42969;14632,37988;130200;14632,37988
02/06/2014;14777,50977;15442,66992;14777,50977;15162,09961;134100;15162,09961
01/07/2014;15179,63965;15759,66016;15101,49023;15620,76953;113900;15620,76953
01/08/2014;15511,54004;15628,78027;14753,83984;15424,58984;114800;15424,58984
01/09/2014;15454,58984;16374,13965;15440,99023;16173,51953;127700;16173,51953
01/10/2014;16173,38965;16533,91016;14529,03027;16413,75977;161000;16413,75977
04/11/2014;16732,84961;17520,53906;16713,36914;17459,84961;173900;17459,84961
01/12/2014;17475,09961;18030,83008;16672,93945;17450,76953;134600;17450,76953
02/01/2015;17702,11914;17850,58984;16592,57031;17674,39063;141700;17674,39063
02/02/2015;17536,60938;18865,39063;17271,86914;18797,93945;154300;18797,93945
02/03/2015;18869,40039;19775,44922;18577,06055;19206,99023;148700;19206,99023
01/04/2015;19129,75;20252,11914;18927,94922;19520,00977;151300;19520,00977
01/05/2015;19510,84961;20655,33008;19257,84961;20563,15039;172600;20563,15039
01/06/2015;20444,53906;20952,71094;19990,55078;20235,73047;161400;20235,73047
01/07/2015;20291,05078;20850;19115,19922;20585,24023;155500;20585,24023
03/08/2015;20540,21094;20946,92969;17714,30078;18890,48047;184600;18890,48047
01/09/2015;18763,7207;18777,4707;16901,49023;17388,15039;168700;17388,15039
01/10/2015;17479,9707;19202,33984;17389,57031;19083,09961;146900;19083,09961
02/11/2015;18827,10938;19994,05078;18641,2207;19747,4707;139300;19747,4707
01/12/2015;19799,08008;20012,40039;18562,50977;19033,71094;132700;19033,71094
04/01/2016;18818,58008;18951,11914;16017,25977;17518,30078;173000;17518,30078
01/02/2016;17699,59961;17905,36914;14865,76953;16026,75977;172100;16026,75977
01/03/2016;16013;17291,34961;15857,37012;16758,66992;107700;16758,66992
01/04/2016;16719,56055;17613,56055;15471,79981;16666,05078;154000;16666,05078
02/05/2016;16357,09961;17251,35938;15975,46973;17234,98047;111500;17234,98047
01/06/2016;17097,2207;17145,94922;14864,00977;15575,91992;126700;15575,91992
01/07/2016;15698,01953;16938,96094;15106,51953;16569,26953;952600;16569,26953
01/08/2016;16415,31055;16943,66992;15921,04004;16887,40039;87500;16887,40039
01/09/2016;16885,16016;17156,35938;16285,41016;16449,83984;99000;16449,83984
03/10/2016;16566,0293;17461,0293;16278,19043;17425,01953;104600;17425,01953
01/11/2016;17380,53906;17621,73047;1560,660034;17374,78906;148400;17374,78906